id,text,coordinates,retweeted,retweet_count,user.followers_count,user.statuses_count,user.friend_count,user.location,user.time_zone,created_at,fname
876504289149042688,Want to work at The TJX Companies? We're #hiring in #London! Click for details: https://t.co/nBRg8R2siI #IT #Veterans #Job #Jobs #CareerArc,"{'coordinates': [-0.1277583, 51.5073509], 'type': 'Point'}",False,0,473,652,,,Eastern Time (US & Canada),2017-06-18 18:18:01,stream18Jun.csv
876504847884967936,"Hey @spivostick!
Just wondering if this vacancy needs you to be local to the business area. I'm extremely confident… https://t.co/6gRrgZnTkx",,False,0,9600,12713,,"Exeter, UK",London,2017-06-18 18:20:15,stream18Jun.csv
876505333363081217,The UK has the chance to regain it's clout and to move away from rustbucket retail outlets to STEAM Education and Jobs.,,False,0,242,24074,,"Bradford & District, UK",Amsterdam,2017-06-18 18:22:10,stream18Jun.csv
876505901204680704,Amazing new Job site which could change your life forever: sign up @genie_jobs and land your dream job… https://t.co/xd8IX0s7BT,,False,0,1397,12031,,"Hastings, East Sussex",,2017-06-18 18:24:26,stream18Jun.csv
876506049447997440,"Want to work at AT&amp;T? We're #hiring in #Luton, England! Click for details: https://t.co/wydDBIyWzS #Engineering #Job #Jobs","{'coordinates': [-0.4200255, 51.8786707], 'type': 'Point'}",False,0,1428,48962,,,Quito,2017-06-18 18:25:01,stream18Jun.csv
876506552336764928,Interested in a #job in #London? This could be a great fit: https://t.co/uH79lvNtge #InsideSales #SalesLife #BusinessMgmt #Hiring,"{'coordinates': [-0.1277583, 51.5073509], 'type': 'Point'}",False,0,515,333,,Global Offices,Pacific Time (US & Canada),2017-06-18 18:27:01,stream18Jun.csv
876508602239819778,Interested in a #job in #EastbourneEastSussex? This could be a great fit: https://t.co/kMeXGFasHc #o2jobs #Retail #Hiring #CareerArc,"{'coordinates': [0.290472, 50.768035], 'type': 'Point'}",False,0,678,275,,"Slough, England",London,2017-06-18 18:35:10,stream18Jun.csv
876509818294546433,This is why we need to start talking about universal income right now. Jobs are going to start disappearing real qu… https://t.co/PmvOtMzkc3,,False,0,1775,31488,,"London, England",Amsterdam,2017-06-18 18:40:00,stream18Jun.csv
876509922384596993,We are fully booked over the next few nights but have good #vacancies from Tuesday. (20th June) #Pembrokeshire #ShortBreak #Wales #Holiday,,False,0,255,662,,"St Davids, Pembrokeshire.",London,2017-06-18 18:40:24,stream18Jun.csv
876511555256336384,This #job might be a great fit for you: Manager of Web Operations - https://t.co/tNg03pf8GR #IT #London #Veterans #Hiring #CareerArc,"{'coordinates': [-0.1277583, 51.5073509], 'type': 'Point'}",False,0,473,652,,,Eastern Time (US & Canada),2017-06-18 18:46:54,stream18Jun.csv
876512271119261696,"Interested in a #job in #Heywood, England? This could be a great fit: https://t.co/9PmVQCHhRs #UKjobs #warehouse #Hiring #CareerArc","{'coordinates': [-2.2318314, 53.5826569], 'type': 'Point'}",False,0,91,248,,"Rosemont, IL",Central Time (US & Canada),2017-06-18 18:49:44,stream18Jun.csv
876513068238458880,@SpursOfficial is just not a club it's also a family @kylewalker2 leaving would be a great loss for both parties. #Jobsatisfaction #COYS,,False,0,13731,13320,," London, UK",London,2017-06-18 18:52:54,stream18Jun.csv
876513332710313989,"@RummHammm If you go into the centre, they have a list of stores hiring, it's about 6 pages long!",,False,0,1588,60475,,Dublin via Mayo,Dublin,2017-06-18 18:53:58,stream18Jun.csv
876515114844774401,See our latest #London #job and click to apply: Account Manager - FASHION - https://t.co/T0ewAK53c9 #Marketing #Hiring #CareerArc,"{'coordinates': [-0.1277583, 51.5073509], 'type': 'Point'}",False,0,573,3011,,"London, UK",Dublin,2017-06-18 19:01:02,stream18Jun.csv
876516603784970240,"We're #hiring! Read about our latest #job opening here: Producer, Digital Games@headingtag&amp;gt; - https://t.co/JgpsOz57tF #LEGO #IT #London","{'coordinates': [-0.1277583, 51.5073509], 'type': 'Point'}",False,0,2196,889,,,Atlantic Time (Canada),2017-06-18 19:06:57,stream18Jun.csv
